State,All Students Rates,American Indians Rates,Asian Americans Rates,Hawaiian/Pacific Islanders Rates,Black Students Rates,Latino Students Rates,White Students Rates,EL Students Rates,GAP: American Indians vs. Whites (in percentage points),GAP: Blacks vs. Whites (in percentage points),GAP: Latinos vs. Whites (in percentage points),All Males Rates,American Indian Males Rates,Asian American Males Rates,Hawaiian/ Pacific Islander Males Rates,Black Males Rates,Latino Males Rates,White Males Rates,Male EL Students Rates,All Females Rates,American Indian Females Rates,Asian American Females Rates,Hawaiian/ Pacific Islander Females Rates,Black Females Rates,Latina Females Rates,White Females Rates,EL Females Rates,All Students WD Rates,American Indian Students WD Rates,Asian American Students WD Rates,Hawaiian/Pacific Islander Students WD Rates,Black Students WD Rates,Latino Students WD Rates,White Students WD Rates,EL Students WD Rates,All Males WD Rates,American Indian Males WD Rates,Asian American Males WD Rates,Hawaiian/Pacific Islander Males WD Rates,Black Males WD Rates,Latino Males WD Rates,Whites Males WD Rates,EL Males WD Rates,All Females WD Rates,American Indian Females WD Rates,Asian American Females WD Rates,Hawaiian/Pacific Islander Females WD Rates,Black Females WD Rates,Latina Females WD Rates,Whites Females WD Rates,EL Females WD Rates,All Students WOD Rates,American Indian Students WOD Rates,Asian American Students WOD Rates,Hawaiian/Pacific Islander Students WOD Rates,Black Students WOD Rates,Latino Students WOD Rates,White Students WOD Rates,EL Students WOD Rates,All Males WOD Rates,American Indian Males WOD Rates,Asian American Males WOD Rates,Hawaiian/Pacific Islander Males WOD Rates,Black Males WOD Rates,Latino Males WOD Rates,Whites Males WOD Rates,EL Males WOD Rates,All Females WOD Rates,American Indian Females WOD Rates,Asian American Females WOD Rates,Hawaiian/Pacific Islander Females WOD Rates,Black Females WOD Rates,Latina Females WOD Rates,Whites Females WOD Rates,EL Females WOD Rates,High Suspending Schools (25),High Suspending Schools (50),Lower-Suspending Schools,Total Suspended Students,Suspended American Indians,Suspended Asian Americans,Suspended Hawaiian/Pacific Islanders,Suspended Blacks,Suspended Latinos,Suspended Whites,Suspended EL Students,Suspended Males,Suspended American Indian Males,Suspended Asian American Males,Suspended Hawaiian/Pacific Islander Males,Suspended Black Males,Suspended Latino Males,Suspended White Males,Suspended EL Males,Suspended Females,Suspended American Indian Females,Suspended Asian American Females,Suspended Hawaiian/Pacific Islander Females,Suspended Black Females,Suspended Latina Females,Suspended White Females,Suspended EL Females,Suspended Students WD,Suspended American Indians WD,Suspended Asian Americans WD,Suspended Hawaiian/Pacific Islanders WD,Suspended Blacks WD,Suspended Latinos WD,Suspended Whites WD,Suspended EL Students WD,Suspended Males WD,Suspended American Indian Males WD,Suspended Asian American Males WD,Suspended Hawaiian/Pacific Islander Males WD,Suspended Black Males WD,Suspended Latino Males WD,Suspended White Males WD,Suspended EL Males WD,Suspended Females WD,Suspended American Indian Females WD,Suspended Asian American Females WD,Suspended Hawaiian/Pacific Islander Females WD,Suspended Black Females WD,Suspended Latina Females WD,Suspended White Females WD,Suspended EL Females WD,Suspended Students WOD,Suspended American Indians WOD,Suspended Asian Americans WOD,Suspended Hawaiian/Pacific Islanders WOD,Suspended Blacks WOD,Suspended Latinos WOD,Suspended Whites WOD,Suspended EL Students WOD,Suspended Males WOD,Suspended American Indian Males WOD,Suspended Asian American Males WOD,Suspended Hawaiian/Pacific Islander Males WOD,Suspended Black Males WOD,Suspended Latino Males WOD,Suspended White Males WOD,Suspended EL Males WOD,Suspended Females WOD,Suspended American Indian Females WOD,Suspended Asian American Females WOD,Suspended Hawaiian/Pacific Islander Females WOD,Suspended Black Females WOD,Suspended Latina Females WOD,Suspended White Females WOD,Suspended EL Females WOD,All Students Enrollment,American Indian Enrollment,Asian American Enrollment,Hawaiian/Pacific Islander Enrollment,Black Enrollment,Latino Enrollment,White Enrollment,EL Enrollment,Male Enrollment,American Indian Male Enrollment,Asian American Male Enrollment,Hawaiian/Pacific Islander Male Enrollment,Black Male Enrollment,Latino Male Enrollment,White Male Enrollment,EL Male Enrollment,Female Enrollment,American Indian Female Enrollment,Asian American Female Enrollment,Hawaiian/Pacific Islander Female Enrollment,Black Female Enrollment,Latina Female Enrollment,White Female Enrollment,EL Female Enrollment,Students WD Enrollment,American Indians WD Enrollment,Asian Americans WD Enrollment,Hawaiian/Pacific Islanders WD Enrollment,Blacks WD Enrollment,Latinos WD Enrollment,Whites WD Enrollment,EL Students WD Enrollment,Males WD Enrollment,American Indian Males WD Enrollment,Asian American Males WD Enrollment,Hawaiian/Pacific Islander Males WD Enrollment,Black Males WD Enrollment,Latino Males WD Enrollment,White Males WD Enrollment,EL Males WD Enrollment,Females WD Enrollment,American Indian Females WD Enrollment,Asian American Females WD Enrollment,Hawaiian/Pacific Islander Females WD Enrollment,Black Females WD Enrollment,Latina Females WD Enrollment,White Females WD Enrollment,EL Females WD Enrollment,Students WOD Enrollment,American Indians WOD Enrollment,Asian Americans WOD Enrollment,Hawaiian/Pacific Islanders WOD Enrollment,Blacks WOD Enrollment,Latinos WOD Enrollment,Whites WOD Enrollment,EL Students WOD Enrollment,Males WOD Enrollment,American Indian Males WOD Enrollment,Asian American Males WOD Enrollment,Hawaiian/Pacific Islander Males WOD Enrollment,Black Males WOD Enrollment,Latino Males WOD Enrollment,White Males WOD Enrollment,EL Males WOD Enrollment,Females WOD Enrollment,American Indian Females WOD Enrollment,Asian American Indian Females WOD Enrollment,Hawaiian/Pacific Islander Females WOD Enrollment,Black Females WOD Enrollment,Latina Females WOD Enrollment,White Females WOD Enrollment,EL Females WOD Enrollment,Number of Middle Schools,Number of High Schools,Number of Secondary Schools
AK,7.22%,8.91%,2.94%,11.79%,13.61%,8.09%,6.46%,9.02%,2.45,7.14,1.62,10.10%,12.32%,4.29%,12.86%,16.74%,10.68%,9.41%,12.14%,4.14%,5.18%,1.15%,8.87%,9.85%,4.99%,3.25%,4.93%,12.62%,13.14%,3.70%,16.22%,20.00%,11.93%,11.38%,10.06%,15.34%,15.53%,6.06%,16.67%,24.14%,12.86%,14.08%,11.58%,7.22%,5.71%,0.00%,18.18%,12.50%,7.89%,6.12%,4.84%,6.38%,7.72%,2.78%,11.06%,12.03%,7.26%,5.77%,8.10%,9.00%,10.53%,4.16%,12.28%,14.37%,9.65%,8.50%,10.92%,3.80%,4.70%,1.22%,8.93%,9.30%,4.67%,3.03%,4.98%,10,0,30,3785,740,130,155,300,300,1845,300,2725,525,95,90,195,205,1385,230,1055,210,25,55,100,90,450,70,850,205,10,30,90,65,350,80,685,160,10,20,70,45,295,55,165,30,0,10,20,15,60,15,2915,520,115,125,210,230,1470,205,2025,340,85,70,125,150,1070,155,880,165,25,50,80,75,390,55,52410,8305,4415,1315,2205,3710,28545,3325,26975,4260,2215,700,1165,1920,14725,1895,25465,4055,2165,620,1015,1805,13845,1420,6735,1560,270,185,450,545,3075,795,4465,1030,165,120,290,350,2095,475,2285,525,105,55,160,190,980,310,45685,6735,4140,1130,1745,3170,25460,2530,22510,3230,2045,570,870,1555,12595,1420,23185,3510,2050,555,860,1605,12860,1105,35,50,110
AL,16.27%,11.25%,3.26%,3.23%,29.20%,7.59%,8.99%,4.72%,2.26,20.22,-1.39,20.46%,16.45%,4.80%,0.00%,35.52%,10.78%,12.18%,6.66%,11.93%,6.81%,1.46%,8.33%,22.87%,4.07%,5.63%,1.57%,20.91%,11.90%,4.00%,0.00%,30.14%,12.02%,13.24%,7.69%,23.88%,14.29%,5.71%,,33.43%,14.53%,15.86%,10.64%,15.53%,0.00%,0.00%,,24.54%,4.84%,8.03%,3.57%,15.66%,11.42%,3.00%,0.00%,29.04%,7.07%,8.49%,4.26%,19.88%,15.27%,4.74%,0.00%,36.03%,10.23%,11.58%,6.02%,11.59%,6.94%,1.51%,0.00%,22.63%,3.76%,5.39%,1.49%,210,60,155,56270,270,155,5,36705,935,17850,265,36000,190,115,0,22345,690,12435,205,20275,80,35,5,14360,240,5435,40,8490,25,10,0,5495,110,2755,30,6195,15,10,0,3895,85,2105,25,2285,0,0,0,1610,15,605,5,47805,245,135,0,31185,805,15110,220,29820,155,105,0,18455,595,10285,170,17985,75,35,0,12720,210,4800,35,345895,2400,4755,155,125685,12315,198650,5620,175945,1155,2395,80,62905,6400,102085,3080,169895,1175,2390,60,62790,5900,96560,2540,40600,210,250,5,18230,915,20810,390,25945,105,175,0,11650,585,13270,235,14710,85,75,0,6560,310,7535,140,305255,2145,4505,135,107400,11380,177885,5170,150025,1015,2215,65,51225,5815,88800,2825,155200,1080,2315,55,56215,5580,89045,2350,240,230,580
AR,11.54%,5.41%,2.05%,14.74%,26.36%,9.10%,7.42%,8.87%,-2.01,18.95,1.68,15.05%,8.57%,3.28%,21.88%,32.23%,12.28%,10.40%,11.73%,7.88%,2.25%,0.61%,7.78%,20.49%,5.34%,4.30%,5.22%,16.13%,5.88%,6.25%,36.36%,26.12%,12.18%,12.09%,12.89%,18.89%,10.00%,9.09%,33.33%,29.36%,13.68%,14.57%,15.75%,10.00%,0.00%,0.00%,33.33%,18.84%,9.01%,6.02%,6.76%,11.01%,4.91%,1.82%,13.07%,26.23%,8.58%,6.88%,8.44%,14.44%,5.52%,2.85%,19.54%,32.60%,12.06%,9.72%,11.29%,7.70%,2.45%,0.63%,6.45%,20.59%,5.06%,4.06%,5.06%,115,25,160,26475,100,70,140,12695,1870,11275,1100,17550,75,55,105,7700,1290,8075,785,8895,20,10,35,4970,530,3195,295,3820,10,5,20,1610,215,1845,145,2950,10,5,15,1195,160,1460,115,805,0,0,5,390,50,315,25,22650,80,60,115,11015,1605,9415,950,14570,40,45,85,6460,1120,6575,670,8070,20,10,30,4560,470,2805,265,229505,1850,3410,950,48155,20555,152045,12395,116645,875,1675,480,23890,10505,77675,6695,112810,890,1635,450,24250,9920,74330,5650,23680,170,80,55,6165,1765,15265,1125,15620,100,55,45,4070,1170,10020,730,8050,40,15,15,2070,555,5235,370,205770,1630,3300,880,41995,18715,136785,11260,100930,725,1580,435,19815,9290,67670,5935,104790,815,1590,435,22145,9295,69145,5240,180,160,470
AZ,8.98%,17.02%,2.73%,7.83%,14.85%,10.05%,6.59%,13.56%,10.42,8.26,3.46,12.40%,21.67%,3.60%,10.42%,19.68%,13.81%,9.49%,17.87%,5.41%,12.33%,1.30%,4.58%,9.51%,6.06%,3.57%,7.82%,16.48%,22.84%,6.12%,18.18%,21.87%,17.08%,13.43%,14.36%,19.72%,25.65%,6.15%,20.00%,25.66%,21.08%,16.37%,18.55%,9.45%,14.34%,3.33%,16.67%,13.54%,8.96%,7.50%,8.33%,8.09%,16.14%,2.50%,6.00%,13.48%,9.19%,5.84%,13.38%,11.19%,20.55%,3.34%,9.84%,17.95%,12.67%,8.43%,17.96%,5.06%,11.73%,1.25%,2.36%,8.84%,5.78%,3.23%,7.82%,150,25,250,41510,4435,385,110,3660,18495,13495,1585,29210,2815,255,75,2490,12965,9920,1155,12255,1600,90,30,1130,5455,3575,405,8025,860,30,20,760,3320,2765,275,6360,640,20,15,585,2680,2240,230,1560,180,5,5,155,600,510,55,33445,3585,340,75,2850,15125,10745,1305,22745,2155,225,60,1850,10290,7655,935,10625,1370,85,15,945,4820,3015,350,462060,26065,14095,1405,24645,183985,204690,11690,235480,12990,7080,720,12650,93885,104500,6465,226570,12980,6945,655,11885,90080,100200,5180,48695,3765,490,110,3475,19440,20585,1915,32250,2495,325,75,2280,12715,13685,1240,16510,1255,150,30,1145,6700,6800,660,413280,22215,13580,1250,21140,164565,184090,9755,203240,10485,6735,610,10305,81185,90785,5205,210070,11680,6775,610,10690,83380,93350,4475,220,405,690
CA,9.07%,13.14%,2.87%,7.44%,20.43%,9.89%,7.04%,11.78%,6.09,13.39,2.84,12.31%,17.46%,4.31%,9.80%,25.62%,13.43%,10.03%,15.44%,5.68%,8.92%,1.27%,4.81%,14.87%,6.21%,3.84%,7.05%,17.49%,18.08%,7.76%,12.95%,30.36%,16.13%,15.62%,14.19%,20.80%,20.86%,9.02%,13.95%,34.24%,19.48%,18.94%,17.50%,10.77%,10.23%,2.30%,5.56%,22.52%,9.54%,8.29%,7.64%,8.15%,12.53%,2.63%,6.92%,18.57%,9.15%,6.10%,11.17%,11.08%,16.07%,3.96%,8.90%,23.48%,12.46%,8.72%,14.80%,5.28%,8.16%,1.18%,4.38%,13.92%,5.91%,3.48%,6.86%,915,185,910,259375,3095,8935,2115,41360,142245,55155,52225,180085,2085,6965,1435,26385,98315,40495,38410,79295,1030,1905,655,14770,43885,14575,13695,49280,545,985,215,9435,24440,11785,12270,38715,390,805,150,6995,19225,9590,9830,10305,90,85,25,2365,5030,2050,2310,210220,2565,7865,1840,31785,117750,43170,39835,141470,1580,6040,1195,19360,78925,30780,28505,68765,855,1720,580,12335,38680,12335,11260,2860075,23560,311640,28420,202405,1438680,783040,443155,1463365,11940,161520,14640,102980,731995,403545,248750,1396935,11545,150035,13625,99315,706650,379515,194365,281815,3015,12695,1660,31075,151475,75445,86485,186115,1870,8920,1075,20430,98680,50645,56160,95670,880,3690,450,10500,52700,24725,30225,2578425,20465,298870,26585,171130,1287010,707615,356675,1277125,9830,152465,13430,82450,633200,352785,192540,1301220,10475,146200,13035,88600,653950,354770,164095,1300,1780,3410
CO,8.10%,11.49%,3.50%,4.65%,16.28%,11.79%,5.55%,11.17%,5.93,10.73,6.24,11.02%,13.67%,5.06%,5.06%,20.22%,15.45%,8.02%,14.75%,5.04%,8.73%,1.71%,2.38%,12.05%,7.95%,2.95%,7.10%,15.38%,12.24%,7.29%,0.00%,22.47%,17.81%,12.95%,14.02%,18.81%,9.09%,6.67%,0.00%,25.85%,21.65%,16.00%,17.43%,8.80%,9.68%,0.00%,0.00%,14.12%,10.96%,6.83%,7.92%,7.33%,11.39%,3.30%,4.43%,15.17%,11.07%,4.83%,10.63%,9.91%,13.23%,4.89%,5.63%,18.69%,14.47%,6.93%,14.03%,4.75%,8.49%,1.68%,2.30%,11.57%,7.68%,2.70%,6.91%,105,10,240,31305,425,420,40,3175,13885,12325,3675,21780,255,295,20,2030,9275,9145,2610,9515,155,105,10,1135,4595,3190,1080,5630,60,35,0,600,2170,2545,675,4540,30,20,0,455,1695,2105,535,1100,15,0,0,125,470,440,135,25645,360,380,35,2550,11685,9770,2985,17205,205,270,20,1545,7545,6990,2045,8385,135,100,10,985,4105,2740,930,386635,3700,12015,860,19500,117775,221975,32910,197675,1865,5825,395,10040,60020,114035,17700,188960,1775,6155,420,9420,57770,108000,15215,36595,490,480,40,2670,12185,19645,4815,24135,330,300,15,1760,7830,13160,3070,12495,155,185,10,885,4290,6440,1705,350000,3160,11500,790,16805,105585,202315,28090,173600,1550,5525,355,8265,52155,100835,14580,176490,1590,5955,400,8510,53435,101435,13455,285,305,690
CT,6.53%,8.14%,1.27%,6.90%,16.90%,12.69%,3.29%,10.63%,4.85,13.61,9.4,8.29%,9.35%,1.96%,6.67%,20.12%,15.25%,4.60%,12.32%,4.67%,5.61%,0.35%,0.00%,13.09%,10.06%,1.94%,8.69%,14.40%,3.23%,1.80%,0.00%,25.26%,22.71%,8.69%,18.58%,16.21%,0.00%,2.90%,0.00%,26.98%,25.42%,10.54%,20.66%,10.04%,0.00%,0.00%,0.00%,20.61%,17.23%,4.76%,14.17%,5.49%,7.61%,1.11%,7.41%,15.34%,11.00%,2.62%,8.97%,6.86%,10.00%,1.63%,8.33%,18.38%,12.89%,3.62%,9.90%,4.17%,5.43%,0.36%,0.00%,12.23%,9.14%,1.65%,7.69%,65,15,190,17935,90,145,10,5520,5750,5905,1070,11660,50,110,5,3370,3525,4235,655,6270,30,20,0,2080,2230,1690,410,4605,5,10,0,1220,1465,1690,315,3460,0,10,0,885,1060,1370,220,1070,0,0,0,305,385,305,85,13335,70,120,10,4275,4270,4195,750,8180,40,85,5,2470,2440,2860,415,5150,25,20,0,1760,1820,1335,315,274790,1105,11385,145,32660,45300,179390,10070,140645,535,5625,75,16750,23120,92120,5315,134155,535,5775,70,15885,22165,87290,4720,31990,155,555,5,4830,6450,19445,1695,21345,70,345,5,3280,4170,12995,1065,10655,40,160,5,1480,2235,6405,600,242765,920,10805,135,27870,38815,159970,8360,119325,400,5220,60,13440,18935,79110,4190,123450,460,5530,65,14385,19910,80870,4095,170,205,405
DE,15.17%,9.09%,2.99%,0.00%,26.15%,15.41%,9.11%,15.60%,-0.02,17.03,6.29,19.04%,3.45%,4.80%,0.00%,31.18%,20.55%,12.08%,19.90%,11.07%,0.00%,1.46%,0.00%,20.68%,10.56%,5.97%,9.26%,26.37%,14.29%,0.00%,,36.68%,25.52%,17.56%,18.67%,30.04%,0.00%,0.00%,,40.30%,28.10%,21.21%,22.92%,19.21%,0.00%,0.00%,,28.46%,18.31%,10.86%,20.83%,13.45%,2.22%,3.13%,0.00%,24.08%,13.82%,8.00%,13.38%,16.83%,4.17%,4.15%,0.00%,28.55%,18.68%,10.59%,16.22%,10.19%,0.00%,1.01%,0.00%,19.51%,9.10%,5.48%,8.03%,35,10,15,9960,25,65,0,5535,1120,3095,280,6405,5,55,0,3410,745,2100,195,3545,0,15,0,2120,385,990,75,2305,5,0,0,1335,245,685,70,1715,0,0,0,955,170,545,55,585,0,0,0,360,65,145,25,7650,5,65,0,4220,870,2405,190,4700,5,45,0,2440,565,1570,120,2950,0,10,0,1750,300,835,55,65645,275,2175,20,21170,7270,33960,1795,33640,145,1145,10,10935,3625,17385,980,32010,135,1025,5,10250,3645,16595,810,8740,35,75,0,3640,960,3900,375,5710,25,50,0,2370,605,2570,240,3045,10,25,0,1265,355,1335,120,56895,225,2080,15,17525,6295,30045,1420,27925,120,1085,5,8545,3025,14820,740,28960,115,990,5,8970,3295,15240,685,35,35,90
FL,18.99%,17.18%,3.34%,12.78%,30.82%,18.80%,13.71%,10.29%,3.47,17.11,5.1,25.57%,22.53%,4.99%,15.60%,38.64%,26.15%,19.50%,13.61%,12.19%,10.87%,1.65%,9.32%,22.91%,11.17%,7.62%,6.49%,37.10%,33.33%,9.62%,21.05%,31.20%,55.01%,29.48%,15.13%,44.15%,37.80%,10.95%,23.08%,37.92%,63.01%,36.29%,18.50%,22.93%,13.89%,6.06%,20.00%,17.51%,39.37%,15.60%,9.28%,16.45%,15.09%,3.08%,11.59%,30.75%,13.86%,11.59%,9.72%,21.99%,19.38%,4.45%,13.83%,38.79%,19.33%,16.42%,12.96%,11.21%,10.31%,1.48%,7.34%,23.48%,8.64%,6.93%,6.25%,710,380,305,235440,865,1060,145,87255,66050,73260,6755,161180,570,800,85,55035,46775,53405,4720,74265,270,260,55,32240,19255,19870,2010,56750,210,150,20,12950,23200,18685,935,45065,155,115,15,10515,17610,15445,740,11670,25,30,5,2415,5600,3250,200,178710,660,930,120,74305,42845,54610,5780,116125,405,665,65,44500,29175,37980,3975,62590,235,225,40,29800,13670,16615,1800,1239530,5035,31765,1135,283145,351260,534465,65650,630280,2530,16020,545,142440,178845,273845,34675,609255,2485,15765,590,140715,172420,260600,30975,152975,630,1560,95,41510,42175,63390,6180,102080,410,1050,65,27730,27950,42565,4000,50885,180,495,25,13790,14225,20835,2155,1086555,4375,30205,1035,241630,309095,471045,59465,528195,2090,14935,470,114730,150895,231305,30660,558380,2280,15250,525,126925,158185,239775,28810,565,525,1315
GA,12.56%,8.98%,2.71%,7.19%,21.26%,10.22%,6.67%,10.65%,2.31,14.6,3.55,16.30%,9.52%,3.97%,4.94%,26.57%,13.55%,9.52%,13.89%,8.70%,4.33%,1.28%,6.33%,15.88%,6.61%,3.64%,6.53%,19.19%,5.56%,3.62%,25.00%,28.19%,15.00%,11.88%,13.24%,22.43%,0.00%,4.26%,100.00%,31.81%,17.82%,14.76%,14.91%,12.39%,0.00%,1.43%,,20.16%,8.10%,5.38%,7.26%,11.78%,8.01%,2.59%,5.70%,20.35%,9.63%,6.06%,10.41%,15.29%,9.76%,3.76%,5.48%,25.58%,12.88%,8.68%,13.65%,8.41%,4.71%,1.13%,4.94%,15.46%,6.42%,3.49%,6.35%,345,50,215,105075,180,785,60,67340,8975,25135,1970,69415,90,590,20,42405,6115,18415,1395,35710,45,180,25,24945,2825,6675,550,17105,10,40,5,10545,1275,4685,235,13440,0,30,5,8030,995,3920,170,3620,0,5,0,2450,230,695,45,88015,145,720,45,56820,7640,20455,1735,55930,80,530,20,34365,5080,14495,1210,32060,45,155,20,22410,2560,5955,495,836300,2005,28930,835,316690,87845,376995,18500,425770,945,14845,405,159590,45115,193485,10045,410540,1040,14065,395,157105,42760,183520,8420,89140,180,1105,20,37405,8500,39445,1775,59910,110,705,5,25245,5585,26550,1140,29220,50,350,0,12150,2840,12915,620,747230,1810,27810,790,279235,79350,337515,16660,365880,820,14110,365,134350,39455,166915,8865,381350,955,13695,385,144955,39885,170580,7790,470,430,980
